Quoi	Pt	quoi
a	Vuc	avoir
point	Rg	point
acquis	Nc	acquis|acquit
,	Fw	,
Ni	Vvc	ni
ces	Dd	ce
titres	Nc	titre
fameux	Ag	fameux
,	Fw	,
ni	Cc	ni
ce	Dd	ce
renom	Nc	renom
exquis	Ag	exquis
Qui	Vvc	qui
des	Dn	un
extractions	Nc	extraction
effacent	Vvc	effacer
la	Da	le
mémoire	Nc	mémoire
,	Fw	,
Quant	Ga	quant
à	S	à
sa	Ds	son
vertu	Nc	vertu
seule	Ag	seul
,	Fw	,
il	Pp	il
faut	Vvc	faillir|falloir
devoir	Vvn	devoir
sa	Ds	son
gloire	Nc	gloire
;	Fw	;
Quelque	Vvc	quelque
insigne	Nc	insigne
avantage	Vvc	avantager
,	Fw	,
et	Cc	et
quelque	Di	quelque
illustre	Ag	illustre
rang	Nc	rang
,	Fw	,
Dont	Vvc	dont
vous	Pp	vous
ayez	Vuc	avoir
couvert	Ge	couvrir
le	Da	le
défaut	Nc	défaut
de	S	de
mon	Ds	mon
sang	Nc	sang
;	Fw	;
Quoi	Vvc	quoi
que	Cs	que
l'	Pp	il
on	Pp	on
dissimule	Vvc	dissimuler
,	Fw	,
on	Pp	on
pourra	Vvc	pouvoir
toujours	Rg	toujours
dire	Vvn	dire
,	Fw	,
Qu'	Vvc	qu'
un	Dn	un
berger	Nc	berger
est	Vuc	être
assis	Ge	asseoir
au	S+Da	à+le
trône	Nc	trône
de	S	de
l'	Da	le
Empire	Nc	empire
;	Fw	;
Qu'	Vvc	qu'
autrefois	Rg	autrefois
mes	Ds	mon
palais	Nc	palais
ont	Vuc	avoir
été	Ge	être
des	S+Da	de+le|de+les
hameaux	Nc	hameau
,	Fw	,
Que	Vvc	que
qui	Pr	qui
gouverne	Vvc	gouverner
Rome	Vvc	rome
,	Fw	,
a	Vuc	avoir
conduit	Vvc	conduire
des	Dn	un
troupeaux	Nc	troupeau
;	Fw	;
Que	Vvc	que
pour	S	pour
prendre	Vvn	prendre
le	Da	le
fer	Nc	fer
,	Fw	,
j'	Pp	je
ai	Vuc	avoir
quitté	Ge	quitter
la	Da	le
houlette	Nc	houlette
;	Fw	;
Et	Vvc	et
qu'	Cs	que
enfin	Rg	enfin
votre	Ds	votre
ouvrage	Nc	ouvrage
est	Vuc	être
une	Dn	un
oeuvre	Nc	œuvre
imparfaite	Ag	imparfait
.	Fs	.
Puis	Vvc	pouvoir
-je	Nc	-je
avec	S	avec
ce	Dd	ce
défaut	Nc	défaut
,	Fw	,
non	Rg	non
encor	Nc	encor
réparé	Ge	réparer
,	Fw	,
M'	Vvc	m'
approcher	Vvn	approcher
d'	S	de
un	Dn	un
objet	Nc	objet
digne	Ag	digne
d'	S	de
être	Vun	être
adoré	Ge	adorer
?	Fs	?
Espérer	Nc	espérer
de	S	de
ses	Ds	son
voeux	Nc	vœu
les	Da	le
glorieuses	Ag	glorieux
marques	Nc	marque
?	Fs	?
Prétendre	Nc	prétendre
d'	S	de
étouffer	Vvn	étouffer
l'	Da	le
espoir	Nc	espoir
de	S	de
cent	Nc	cent
monarques	Nc	monarque
?	Fs	?
Passer	Vvn	passer
ma	Ds	mon
propre	Ag	propre
attente	Nc	attente
?	Fs	?
Et	Cc	et
me	Pp	je
faire	Vvn	faire
des	Dn	un
dieux	Nc	dieu|dieux
,	Fw	,
Sinon	Nc	sinon
des	S+Da	de+le|de+les
ennemis	Nc	ennemi
,	Fw	,
au	S+Da	à+le
moins	Nc	moins
des	S+Da	de+le|de+les
envieux	Nc	envieux
?	Fs	?
Suffit	Vvc	suffire
que	Cs	que
c'	Pd	ce
est	Vuc	être
mon	Ds	mon
choix	Nc	choix
,	Fw	,
et	Cc	et
que	Cs	que
j'	Pp	je
ai	Vuc	avoir
connaissance	Nc	connaissance
Et	Vvc	et
de	S	de
votre	Ds	votre
personne	Nc	personne
et	Cc	et
de	S	de
votre	Ds	votre
naissance	Nc	naissance
;	Fw	;
Et	Vvc	et
que	Rg	que
si	Cs	si
l'	Da	le
une	Pi	un
enfin	Rg	enfin
n'	Rp	ne
admet	Vvc	admettre
un	Dn	un
rang	Nc	rang
si	Rg	si
haut	Ag	haut
,	Fw	,
L'	Vvc	l'
autre	Pi	autre
,	Fw	,
par	S	par
sa	Ds	son
vertu	Nc	vertu
,	Fw	,
répare	Vvc	réparer
son	Ds	son
défaut	Nc	défaut
,	Fw	,
Supplée	Vvc	supplée
à	S	à
la	Da	le
nature	Nc	nature
,	Fw	,
élève	Vvc	élever
sa	Ds	son
bassesse	Nc	bassesse
,	Fw	,
Se	Vvc	se
reproduit	Ge	reproduire
soi	Pp	il
-même	Vvc	-même
,	Fw	,
et	Cc	et
forme	Vvc	former
sa	Ds	son
noblesse	Nc	noblesse
;	Fw	;
À	Nc	à
combien	Rg	combien
de	S	de
bergers	Nc	berger
les	Da	le
Grecs	Nc	grec
et	Cc	et
les	Da	le
Romains	Nc	romain
Ont	Vvc	ont
-ils	Vvn	-ils
pour	S	pour
leur	Ds	leur
vertu	Nc	vertu
vu	Ge	voir
des	S+Da	de+le|de+les
sceptres	Nc	sceptre
aux	S+Da	à+les
mains	Nc	main
?	Fs	?
L'	Da	le
histoire	Nc	histoire
des	S+Da	de+le|de+les
grands	Ag	grand
coeurs	Nc	cœur
,	Fw	,
la	Da	le
plus	Rg	plus
chère	Ag	cher
espérance	Nc	espérance
,	Fw	,
Que	Vvc	que
le	Da	le
temps	Nc	temps
traite	Vvc	traiter
seule	Ag	seul
avecques	Vvc	avecques
révérence	Nc	révérence
,	Fw	,
Qui	Vvc	qui
ne	Rp	ne
redoutant	Ga	redouter
rien	Pi	rien
,	Fw	,
ne	Rp	ne
peut	Vvc	pouvoir
rien	Pi	rien
respecter	Vvn	respecter
,	Fw	,
Qui	Vvc	qui
se	Pp	il
produit	Vvc	produire
sans	S	sans
fard	Nc	fard
,	Fw	,
et	Cc	et
parle	Vvc	parler
sans	S	sans
flatter	Vvn	flatter
,	Fw	,
N'	Ga	n'
a-t-elle	V	avoir
pas	Rg	pas
cent	Nc	cent
fois	Nc	fois
publié	Ge	publier
la	Da	le
louange	Nc	louange
De	Vvc	de
gens	Nc	gens|gent
que	Cs	que
leur	Ds	leur
mérite	Nc	mérite
a	Vuc	avoir
tiré	Ge	tirer
de	S	de
la	Da	le
fange	Nc	fange
?	Fs	?
Qui	Pr	qui
par	S	par
leur	Ds	leur
industrie	Nc	industrie
ont	Vuc	avoir
leurs	Ds	leur
noms	Nc	nom
éclaircis	Vvc	éclaircir
,	Fw	,
Et	Vvc	et
sont	Vuc	être
montés	Ge	monter
au	S+Da	à+le
rang	Nc	rang
où	Pr	où
nous	Pp	nous
sommes	Vuc	être
assis	Ge	asseoir
?	Fs	?
Cyrus	Vvc	cyrus
,	Fw	,
Sémiramis	Nc	sémiramis
,	Fw	,
sa	Ds	son
fameuse	Ag	fameux
adversaire	Nc	adversaire
,	Fw	,
Noms	Nc	nom
,	Fw	,
qu'	Pr	que
encor	Vvc	encor
aujourd'hui	Rg	aujourd'hui
la	Da	le
mémoire	Nc	mémoire
révère	Vvc	révérer
,	Fw	,
Lycaste	Vvc	lycaste
,	Fw	,
Parrasie	Nc	parrasie
,	Fw	,
et	Cc	et
mille	Nc	mille
autres	Ag	autre
divers	Ag	divers
,	Fw	,
Qui	Vvc	qui
dans	S	dans
les	Da	le
premiers	Ag	premier
temps	Nc	temps
ont	Vuc	avoir
régi	Ge	régir
l'	Da	le
univers	Nc	univers
;	Fw	;
Et	Vvc	et
récemment	Rg	récemment
encor	Nc	encor
dans	S	dans
Rome	Nc	rome
,	Fw	,
Vitellie	Vvc	vitellie
,	Fw	,
Gordian	Vvc	gordian
,	Fw	,
Pertinax	Nc	pertinax
,	Fw	,
Macrin	Nc	macrin
,	Fw	,
Probe	Vvc	probe
,	Fw	,
Aurélie	Nc	aurélie
,	Fw	,
N'	Vvc	n'
y	Pp	y
sont	Vuc	être
-ils	Ge	-ils
pas	Rg	pas
montés	Ge	monter
?	Fs	?
Et	Cc	et
fait	Ge	faire
de	S	de
mêmes	Ag	même
mains	Nc	main
Des	Vvc	des
règles	Nc	règle
aux	S+Da	à+les
troupeaux	Nc	troupeau
,	Fw	,
et	Cc	et
des	S+Da	de+le|de+les
lois	Nc	loi
aux	S+Da	à+les
humains	Nc	humains
;	Fw	;
Et	Vvc	et
moi-même	Pp	lui-même
,	Fw	,
enfin	Rg	enfin
moi	Pp	je
,	Fw	,
qui	Pr	qui
de	S	de
naissance	Nc	naissance
obscure	Ag	obscur
Dois	Vvc	devoir
mon	Ds	mon
sceptre	Nc	sceptre
à	S	à
moi-même	Pp	lui-même
,	Fw	,
et	Cc	et
rien	Pi	rien
à	S	à
la	Da	le
nature	Nc	nature
,	Fw	,
N'	Vvc	n'
ai	Vuc	avoir
-je	Ge	-je
pas	Rg	pas
lieu	Nc	lieu
de	S	de
croire	Vvn	croire
en	S	en
cet	Dd	ce
illustre	Ag	illustre
rang	Nc	rang
Le	Vvc	le
mérite	Nc	mérite
dans	S	dans
l'	Da	le
homme	Nc	homme
,	Fw	,
et	Cc	et
non	Rg	non
pas	Rg	pas
dans	S	dans
le	Da	le
sang	Nc	sang
?	Fs	?
D'	S	de
avoir	Vun	avoir
,	Fw	,
à	S	à
qui	Pr	qui
l'	Pp	il
accroît	Vvc	accroître
fait	Ge	faire
part	Nc	part
de	S	de
ma	Ds	mon
puissance	Nc	puissance
,	Fw	,
Et	Vvc	et
choisi	Ge	choisir
la	Da	le
personne	Nc	personne
,	Fw	,
et	Cc	et
non	Rg	non
pas	Rg	pas
la	Da	le
naissance	Nc	naissance
?	Fs	?
À	Nc	à
Valérie	Vvc	valérie
.	Fs	.
Vous	Pp	vous
,	Fw	,
cher	Ag	cher
fruit	Nc	fruit
de	S	de
mon	Ds	mon
lit	Nc	lit
,	Fw	,
beau	Ag	beau
prix	Nc	prix
de	S	de
ses	Ds	son
exploits	Nc	exploit
,	Fw	,
Si	Vvc	si
ce	Dd	ce
front	Nc	front
n'	Rp	ne
est	Vuc	être
menteur	Nc	menteur
,	Fw	,
vous	Pp	vous
approuvez	Vvc	approuver
mon	Ds	mon
choix	Nc	choix
;	Fw	;
Et	Vvc	et
tout	Pi	tout
ce	Pd	ce
que	Pr	que
l'	Da	le
Amour	Nc	amour
,	Fw	,
pour	S	pour
marque	Nc	marque
d'	S	de
allégresse	Nc	allégresse
,	Fw	,
Sur	Nc	sur
le	Da	le
front	Nc	front
d'	S	de
une	Dn	un
fille	Nc	fille
amante	Nc	amant
,	Fw	,
mais	Cc	mais
princesse	Nc	prince|princesse
,	Fw	,
Y	Vvc	y
fait	Ge	faire
voir	Vvn	voir
sagement	Rg	sagement
que	Cs	que
mon	Ds	mon
élection	Nc	élection
Se	Ag	se
trouve	Vvc	trouver
un	Dn	un
digne	Ag	digne
objet	Nc	objet
de	S	de
votre	Ds	votre
passion	Nc	passion
.	Fs	.
Ce	Dd	ce
choix	Nc	choix
étant	Ga	être
si	Rg	si
rare	Ag	rare
,	Fw	,
et	Cc	et
venant	Ga	venir
de	S	de
mon	Ds	mon
père	Nc	père
,	Fw	,
Mon	Nc	mon
goût	Nc	goût
serait	Vuc	être
mauvais	Ag	mauvais
,	Fw	,
s'	Cs	si
il	Pp	il
s'	Pp	se
y	Pp	y
trouvait	Vvc	trouver
contraire	Ag	contraire
;	Fw	;
Oui	Vvc	oui
Seigneur	Nc	seigneur
,	Fw	,
je	Pp	je
l'	Pp	il
approuve	Vvc	approuver
,	Fw	,
et	Cc	et
bénis	Vvc	bénir
le	Da	le
destin	Nc	destin
,	Fw	,
D'	Nc	d'
un	Dn	un
heureux	Ag	heureux
accident	Nc	accident
que	Pr	que
j'	Pp	je
ai	Vuc	avoir
craint	Vvc	craindre
ce	Dd	ce
matin	Nc	matin
.	Fs	.
Se	Pp	il
tournant	Ga	tourner
vers	S	vers
Camille	Nc	camille
.	Fs	.
Mon	Ds	mon
songe	Nc	songe
est	Vuc	être
expliqué	Ge	expliquer
;	Fw	;
j'	Pp	je
épouse	Vvc	épouser
en	S	en
ce	Dd	ce
grand	Ag	grand
homme	Nc	homme
Un	Vvc	un
Berger	Vvn	berger
,	Fw	,
il	Pp	il
est	Vuc	être
vrai	Ag	vrai
,	Fw	,
mais	Cc	mais
qui	Pr	qui
commande	Vvc	commander
à	S	à
Rome	Nc	rome
;	Fw	;
Le	Vvc	le
songe	Nc	songe
m'	Pp	je
effrayait	Vvc	effrayer
,	Fw	,
et	Cc	et
j'	Pp	je
en	Pp	en
chéris	Vvc	chérir
l'	Da	le
effet	Nc	effet
,	Fw	,
Et	Vvc	et
ce	Pd	ce
qui	Pr	qui
fut	Vuc	être
ma	Ds	mon
peur	Nc	peur
,	Fw	,
est	Vuc	être
enfin	Rg	enfin
mon	Ds	mon
souhait	Nc	souhait
.	Fs	.
Ô	Vvc	ô
favorable	Ag	favorable
arrêt	Nc	arrêt
,	Fw	,
qui	Pr	qui
me	Pp	je
comble	Vvc	combler
de	S	de
gloire	Nc	gloire
,	Fw	,
Et	Vvc	et
fait	Ge	faire
de	S	de
ma	Ds	mon
prison	Nc	prison
,	Fw	,
ma	Ds	mon
plus	Rg	plus
belle	Ag	beau
victoire	Nc	victoire
!	Fs	!
Ainsi	Rg	ainsi
souvent	Rg	souvent
le	Da	le
ciel	Nc	ciel
conduit	Vvc	conduire
tout	Rg	tout
à	S	à
tel	Di	tel
point	Nc	point
,	Fw	,
Que	Vvc	que
ce	Pd	ce
qu'	Pr	que
on	Pp	on
craint	Vvc	craindre
arrive	Vvc	arriver
,	Fw	,
et	Cc	et
qu'	Cs	que
il	Pp	il
n'	Rp	ne
afflige	Vvc	affliger
point	Rg	point
;	Fw	;
Et	Vvc	et
que	Cs	que
ce	Pd	ce
qu'	Pr	que
on	Pp	on
redoute	Vvc	redouter
,	Fw	,
est	Vuc	être
enfin	Rg	enfin
ce	Pd	ce
qu'	Pr	que
on	Pp	on
aime	Vvc	aimer
.	Fs	.
Genest	Nc	genêt
attend	Vvc	attendre
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
dans	S	dans
un	Dn	un
désir	Nc	désir
extrême	Ag	extrême
,	Fw	,
De	Vvc	de
s'	Pp	se
acquitter	Vvn	acquitter
des	Dn	un
voeux	Nc	vœu
dûs	Ge	devoir
à	S	à
vos	Ds	votre
Majestés	Nc	majestés
.	Fs	.
Il	Pp	il
sort	Vvc	sortir
.	Fs	.
Qu'	Cs	que
il	Pp	il
entre	Vvc	entrer
.	Fs	.
Il	Pp	il
manquait	Vvc	manquer
seul	Ag	seul
à	S	à
vos	Ds	votre
prospérités	Nc	prospérité
;	Fw	;
Et	Vvc	et
quel	Dt	quel
que	Pr	que
soit	Vuc	être
votre	Ds	votre
heur	Nc	heur
,	Fw	,
son	Ds	son
art	Nc	art
,	Fw	,
pour	S	pour
le	Pp	il
parfaire	Vvn	parfaire
,	Fw	,
Semble	Vvc	sembler
en	S	en
quelque	Di	quelque
façon	Nc	façon
vous	Pp	vous
être	Vun	être
nécessaire	Ag	nécessaire
.	Fs	.
Madame	Nc	madame
,	Fw	,
obtenez-nous	Vvc	obtenez-nous
ce	Dd	ce
divertissement	Nc	divertissement
,	Fw	,
Que	Vvc	que
vous	Pp	vous
-même	Vvc	-même
estimez	Vvc	estimer
,	Fw	,
et	Cc	et
trouvez	Vvc	trouver
si	Cs	si
charmant	Ga	charmer
.	Fs	.
Si	Rg	si
parmi	S	parmi
vos	Ds	votre
sujets	Nc	sujet
,	Fw	,
une	Dn	un
abjecte	Ag	abject
fortune	Nc	fortune
,	Fw	,
Permet	Vvc	permettre
de	S	de
partager	Vvn	partager
l'	Da	le
allégresse	Nc	allégresse
commune	Ag	commun
,	Fw	,
Et	Vvc	et
de	S	de
contribuer	Vvn	contribuer
en	S	en
ces	Dd	ce
communs	Ag	commun
désirs	Nc	désir
,	Fw	,
Sinon	Nc	sinon
à	S	à
votre	Ds	votre
gloire	Nc	gloire
,	Fw	,
au	S+Da	à+le
moins	Nc	moins
à	S	à
vos	Ds	votre
plaisirs	Nc	plaisir
;	Fw	;
Ne	Vvc	ne
désapprouvez	Vvc	désapprouver
pas	Rg	pas
,	Fw	,
ô	I	oh
généreux	Ag	généreux
monarques	Nc	monarque
,	Fw	,
Que	Vvc	que
notre	Ds	notre
affection	Nc	affection
vous	Pp	vous
produise	Vvc	produire
ses	Ds	son
marques	Nc	marque
;	Fw	;
Et	Vvc	et
que	Cs	que
mes	Ds	mon
compagnons	Nc	compagnon
,	Fw	,
vous	Pp	vous
offrent	Vvc	offrir
par	S	par
ma	Ds	mon
voix	Nc	voix
,	Fw	,
Non	Vvc	non
des	Dn	un
tableaux	Nc	tableau
parlants	Ga	parler
de	S	de
vos	Ds	votre
rares	Ag	rare
exploits	Nc	exploit
,	Fw	,
Non	Vvc	non
cette	Dd	ce
si	Rg	si
célèbre	Ag	célèbre
et	Cc	et
si	Rg	si
fameuse	Ag	fameux
histoire	Nc	histoire
,	Fw	,
Que	Vvc	que
vos	Ds	votre
heureux	Ag	heureux
succès	Nc	succès
laissent	Vvc	laisser
à	S	à
la	Da	le
mémoire	Nc	mémoire
,	Fw	,
(	Fw	(
Puisque	Vvc	puisque
le	Da	le
peuple	Nc	peuple
grec	Ag	grec
,	Fw	,
non	Rg	non
plus	Rg	plus
que	Cs	que
le	Da	le
romain	Ag	romain
,	Fw	,
N'	Vvc	n'
a	Vuc	avoir
point	Rg	point
pour	S	pour
les	Pp	ils
tromper	Vvn	tromper
une	Dn	un
assez	Rg	assez
docte	Ag	docte
main	Nc	main
.	Fs	.
)	Fw	)
Mais	Vvc	mais
quelque	Di	quelque
effort	Nc	effort
au	S+Da	à+le
moins	Nc	moins
,	Fw	,
par	S	par
qui	Pr	qui
nous	Pp	nous
puissions	Vvc	pouvoir
dire	Vvn	dire
,	Fw	,
Vous	Vvc	vous
avoir	Vun	avoir
délassés	Ge	délacer|délasser
du	S+Da	de+le
grand	Ag	grand
faix	Nc	faix
de	S	de
l'	Da	le
Empire	Nc	empire
,	Fw	,
Et	Vvc	et
par	S	par
ce	Pd	ce
que	Pr	que
notre	Ds	notre
art	Nc	art
aura	Vuc	avoir
de	S	de
plus	Rg	plus
charmant	Ga	charmer
,	Fw	,
Avoir	Vvc	avoir
à	S	à
vos	Ds	votre
grands	Ag	grand
soins	Nc	soin
ravi	Ge	ravir
quelque	Di	quelque
moment	Nc	moment
.	Fs	.
Genest	Nc	genêt
,	Fw	,
ton	Ds	ton
soin	Nc	soin
m'	Pp	je
oblige	Vvc	obliger
,	Fw	,
et	Cc	et
la	Da	le
cérémonie	Nc	cérémonie
Du	Vvc	du
beau	Ag	beau
jour	Nc	jour
où	Pr	où
ma	Ds	mon
fille	Nc	fille
à	S	à
ce	Dd	ce
prince	Nc	prince
est	Vuc	être
unie	Ge	unir
,	Fw	,
Et	Vvc	et
qui	Pr	qui
met	Vvc	mettre
notre	Ds	notre
joie	Nc	joie
en	S	en
un	Dn	un
degré	Nc	degré
si	Rg	si
haut	Ag	haut
,	Fw	,
Sans	Vvc	sans
un	Dn	un
trait	Nc	trait
de	S	de
ton	Ds	ton
art	Nc	art
,	Fw	,
aurait	Vuc	avoir
quelque	Di	quelque
défaut	Nc	défaut
.	Fs	.
Le	Da	le
théâtre	Nc	théâtre
aujourd'hui	Rg	aujourd'hui
fameux	Ag	fameux
par	S	par
ton	Ds	ton
mérite	Nc	mérite
,	Fw	,
À	Nc	à
ce	Dd	ce
noble	Ag	noble
plaisir	Nc	plaisir
puissamment	Rg	puissamment
sollicité	Ge	solliciter
;	Fw	;
Et	Vvc	et
dans	S	dans
l'	Da	le
état	Nc	état
qu'	Pr	que
il	Pp	il
est	Vuc	être
,	Fw	,
ne	Rp	ne
peut	Vvc	pouvoir
sans	S	sans
être	Vun	être
ingrat	Ag	ingrat
,	Fw	,
Nier	Vvc	nier
de	S	de
te	Pp	tu
devoir	Vvn	devoir
son	Ds	son
plus	Rg	plus
brillant	Ag	brillant
éclat	Nc	éclat
:	Fw	:
Avec	S	avec
confusion	Nc	confusion
j'	Pp	je
ai	Vuc	avoir
vu	Ge	voir
cent	Nc	cent
fois	Nc	fois
tes	Ds	ton
feintes	Nc	feinte
,	Fw	,
Me	Vvc	me
livrer	Vvn	livrer
malgré	S	malgré
moi	Pp	je
de	Dn	un
sensibles	Ag	sensible
atteintes	Nc	atteinte
;	Fw	;
En	Vvc	en
cent	Nc	cent
sujets	Nc	sujet
divers	Ag	divers
,	Fw	,
suivant	Ga	suivre
tes	Ds	ton
mouvements	Nc	mouvement
,	Fw	,
J'	Vvc	j'
ai	Vuc	avoir
reçu	Ge	recevoir
de	S	de
tes	Ds	ton
feux	Nc	feu|feux
de	S	de
vrais	Ag	vrai
ressentiments	Nc	ressentiment
;	Fw	;
Et	Vvc	et
l'	Da	le
Empire	Nc	empire
absolu	Ag	absolu
que	Pr	que
tu	Pp	tu
prends	Vvc	prendre
sur	S	sur
une	Dn	un
âme	Nc	âme
,	Fw	,
M'	Vvc	m'
a	Vuc	avoir
fait	Ge	faire
cent	Nc	cent
fois	Nc	fois
de	S	de
glace	Nc	glace|glacé
,	Fw	,
et	Cc	et
cent	Nc	cent
autres	Ag	autre
de	S	de
flamme	Nc	flamme
:	Fw	:
Par	S	par
ton	Ds	ton
art	Nc	art
les	Da	le
héros	Nc	héros
plutôt	Rg	plutôt
ressuscités	Ge	ressusciter
,	Fw	,
Qu'	Vvc	qu'
imités	Ge	imiter
en	S	en
effet	Nc	effet
,	Fw	,
et	Cc	et
que	Rg	que
représentés	Ge	représenter
,	Fw	,
Des	Vvc	des
cent	Nc	cent
et	Cc	et
mille	Nc	mille
ans	Nc	an
après	S	après
leurs	Ds	leur
funérailles	Nc	funéraille
,	Fw	,
Font	Vvc	faire
encor	Nc	encor
des	S+Da	de+le|de+les
progrès	Nc	progrès
,	Fw	,
et	Cc	et
gagnent	Vvc	gagner
des	Dn	un
batailles	Nc	bataille
,	Fw	,
Et	Vvc	et
sous	S	sous
leurs	Ds	leur
noms	Nc	nom
fameux	Ag	fameux
établissent	Vvc	établir
des	Dn	un
lois	Nc	loi
;	Fw	;
Tu	Vvc	tu
me	Pp	je
fais	Vvc	faire
en	S	en
toi	Pp	tu
seul	Ag	seul
maître	Nc	maître
de	S	de
mille	Nc	mille
rois	Nc	roi
.	Fs	.
Le	Da	le
comique	Nc	comique
,	Fw	,
en	S	en
ton	Ds	ton
art	Nc	art
également	Rg	également
succède	Vvc	succéder
,	Fw	,
Est	Vvc	est
contre	S	contre
la	Da	le
tristesse	Nc	tristesse
un	Dn	un
si	Rg	si
présent	Ag	présent
remède	Nc	remède
,	Fw	,
Qu'	Vvc	qu'
un	Dn	un
seul	Ag	seul
mot	Nc	mot
,	Fw	,
(	Fw	(
quand	Cs	quand
tu	Pp	tu
veux	Vvc	vouloir
,	Fw	,
)	Fw	)
un	Dn	un
pas	Rg	pas
,	Fw	,
une	Dn	un
action	Nc	action
,	Fw	,
Ne	Vvc	ne
laisse	Vvc	laisser
plus	Rg	plus
de	S	de
prise	Nc	prise
à	S	à
cette	Dd	ce
passion	Nc	passion
,	Fw	,
Et	Vvc	et
par	S	par
une	Dn	un
soudaine	Ag	soudain
,	Fw	,
et	Cc	et
sensible	Ag	sensible
merveille	Nc	merveille
,	Fw	,
Jette	Vvc	jeter
la	Da	le
joie	Nc	joie
au	S+Da	à+le
coeur	Nc	cœur
,	Fw	,
par	S	par
l'	Da	le
oeil	Nc	œil
ou	Cc	ou
par	S	par
l'	Da	le
oreille	Nc	oreille
.	Fs	.
Cette	Dd	ce
gloire	Nc	gloire
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
me	Pp	je
confond	Vvc	confondre
à	S	à
tel	Di	tel
point	Nc	point
...	Fs	...
Crois	Vvc	croire|croître
qu'	Cs	que
elle	Pp	il
est	Vuc	être
légitime	Ag	légitime
,	Fw	,
et	Cc	et
ne	Rp	ne
t'	Pp	tu
en	Pp	en
défends	Vvc	défendre
point	Rg	point
.	Fs	.
Mais	Cc	mais
passons	Vvc	passer
aux	S+Da	à+les
auteurs	Nc	auteur
,	Fw	,
et	Cc	et
dis-nous	Vvc	dis-nous
quel	Dt	quel
ouvrage	Nc	ouvrage
Aujourd'hui	Rg	aujourd'hui
dans	S	dans
la	Da	le
scène	Nc	scène
a	Vuc	avoir
le	Da	le
plus	Rg	plus
haut	Ag	haut
suffrage	Nc	suffrage
,	Fw	,
Quelle	Vvc	quelle
plume	Nc	plume
est	Vuc	être
en	S	en
règne	Nc	règne
,	Fw	,
et	Cc	et
quel	Dt	quel
fameux	Ag	fameux
esprit	Nc	esprit
S'	Ag	s'
est	Vuc	être
acquis	Nc	acquis|acquit
dans	S	dans
le	Da	le
cirque	Nc	cirque
un	Dn	un
plus	Rg	plus
juste	Ag	juste
crédit	Nc	crédit
.	Fs	.
Les	Da	le
goûts	Nc	goût|goûts
sont	Vuc	être
différents	Ag	différent
,	Fw	,
et	Cc	et
souvent	Rg	souvent
le	Da	le
caprice	Nc	caprice
Établit	Vvc	établit
ce	Dd	ce
crédit	Nc	crédit
,	Fw	,
bien	Rg	bien
plus	Rg	plus
que	Cs	que
la	Da	le
justice	Nc	justice
.	Fs	.
Mais	Cc	mais
entr'autres	Vvc	entr'autres
encor	Nc	encor
,	Fw	,
qui	Pr	qui
l'	Pp	il
emporte	Vvc	emporter
,	Fw	,
en	S	en
ton	Ds	ton
sens	Nc	sens
?	Fs	?
Mon	Ds	mon
goût	Nc	goût
,	Fw	,
à	S	à
dire	Vvn	dire
vrai	Ag	vrai
,	Fw	,
n'	Rp	ne
est	Vuc	être
point	Rg	point
pour	S	pour
les	Da	le
récents	Ag	récent
;	Fw	;
De	Vvc	de
trois	Nc	trois
ou	Cc	ou
quatre	Nc	quatre
au	S+Da	à+le
plus	Rg	plus
,	Fw	,
peut-être	Rg	peut-être
la	Da	le
mémoire	Nc	mémoire
Jusqu'	Vvc	jusqu'
aux	S+Da	à+les
siècles	Nc	siècle
futurs	Ag	futur
,	Fw	,
conservera	Vvc	conserver
la	Da	le
gloire	Nc	gloire
;	Fw	;
Mais	Vvc	mais
de	S	de
les	Pp	ils
égaler	Vvn	égaler
à	S	à
ces	Dd	ce
fameux	Ag	fameux
auteurs	Nc	auteur
,	Fw	,
Dont	Vvc	dont
les	Da	le
derniers	Nc	dernier
des	S+Da	de+le|de+les
temps	Nc	temps
seront	Vuc	être
adorateurs	Nc	adorateur
,	Fw	,
Et	Vvc	et
de	S	de
voir	Vvn	voir
leurs	Ds	leur
travaux	Nc	travail|travaux
,	Fw	,
avec	S	avec
la	Da	le
révérence	Nc	révérence
Dont	Vvc	dont
je	Pp	je
vois	Vvc	voir
les	Da	le
écrits	Nc	écrit
d'	S	de
un	Dn	un
Plaute	Nc	plaute
et	Cc	et
d'	S	de
un	Dn	un
Térence	Nc	térence
,	Fw	,
Et	Vvc	et
de	S	de
ces	Dd	ce
doctes	Ag	docte
Grecs	Nc	grec
,	Fw	,
dont	Pr	dont
les	Da	le
rares	Ag	rare
brillants	Nc	brillant
Font	Vvc	faire
qu'	Cs	que
ils	Pp	ils
vivent	Vvc	vivre
encor	Nc	encor
si	Rg	si
beaux	Ag	beau
après	S	après
mille	Nc	mille
ans	Nc	an
,	Fw	,
Et	Vvc	et
dont	Pr	dont
l'	Da	le
estime	Nc	estime
enfin	Rg	enfin
ne	Rp	ne
peut	Vvc	pouvoir
être	Vun	être
effacée	Ge	effacer
,	Fw	,
Ce	Vvc	ce
serait	Vuc	être
vous	Pp	vous
mentir	Vvn	mentir
,	Fw	,
et	Cc	et
trahir	Vvn	trahir
ma	Ds	mon
pensée	Nc	pensée
.	Fs	.
